web-scraper-order,web-scraper-start-url,Movie title,Rating,Movie links,Movie links-href,Director,Writers,Stars
"1771933098-1","https://www.imdb.com/chart/top/","The Shawshank Redemption","9.3","","","","",""
"1771933098-2","https://www.imdb.com/chart/top/","The Godfather","9.2","","","","",""
"1771933098-3","https://www.imdb.com/chart/top/","The Dark Knight","9.1","","","","",""
"1771933098-4","https://www.imdb.com/chart/top/","The Godfather Part II","9.0","","","","",""
"1771933098-5","https://www.imdb.com/chart/top/","12 Angry Men","9.0","","","","",""
"1771933098-6","https://www.imdb.com/chart/top/","The Lord of the Rings: The Return of the King","9.0","","","","",""
"1771933098-7","https://www.imdb.com/chart/top/","Schindler's List","9.0","","","","",""
"1771933098-8","https://www.imdb.com/chart/top/","The Lord of the Rings: The Fellowship of the Ring","8.9","","","","",""
"1771933098-9","https://www.imdb.com/chart/top/","Pulp Fiction","8.8","","","","",""
"1771933098-10","https://www.imdb.com/chart/top/","The Good, the Bad and the Ugly","8.8","","","","",""
"1771933098-11","https://www.imdb.com/chart/top/","The Lord of the Rings: The Two Towers","8.8","","","","",""
"1771933098-12","https://www.imdb.com/chart/top/","Forrest Gump","8.8","","","","",""
"1771933098-13","https://www.imdb.com/chart/top/","Fight Club","8.8","","","","",""
"1771933098-14","https://www.imdb.com/chart/top/","Inception","8.8","","","","",""
"1771933098-15","https://www.imdb.com/chart/top/","Star Wars: Episode V - The Empire Strikes Back","8.7","","","","",""
"1771933098-16","https://www.imdb.com/chart/top/","The Matrix","8.7","","","","",""
"1771933098-17","https://www.imdb.com/chart/top/","Goodfellas","8.7","","","","",""
"1771933098-18","https://www.imdb.com/chart/top/","Interstellar","8.7","","","","",""
"1771933098-19","https://www.imdb.com/chart/top/","One Flew Over the Cuckoo's Nest","8.6","","","","",""
"1771933098-20","https://www.imdb.com/chart/top/","Se7en","8.6","","","","",""
"1771933098-21","https://www.imdb.com/chart/top/","It's a Wonderful Life","8.6","","","","",""
"1771933098-22","https://www.imdb.com/chart/top/","The Silence of the Lambs","8.6","","","","",""
"1771933098-23","https://www.imdb.com/chart/top/","Seven Samurai","8.6","","","","",""
"1771933098-24","https://www.imdb.com/chart/top/","Saving Private Ryan","8.6","","","","",""
"1771933098-25","https://www.imdb.com/chart/top/","The Green Mile","8.6","","","","",""
"1771933098-26","https://www.imdb.com/chart/top/","City of God","8.6","","","","",""
"1771933098-27","https://www.imdb.com/chart/top/","Life Is Beautiful","8.6","","","","",""
"1771933098-28","https://www.imdb.com/chart/top/","Terminator 2: Judgment Day","8.6","","","","",""
"1771933098-29","https://www.imdb.com/chart/top/","Star Wars: Episode IV - A New Hope","8.6","","","","",""
"1771933098-30","https://www.imdb.com/chart/top/","Back to the Future","8.5","","","","",""
"1771933098-31","https://www.imdb.com/chart/top/","Spirited Away","8.6","","","","",""
"1771933098-32","https://www.imdb.com/chart/top/","The Pianist","8.5","","","","",""
"1771933098-33","https://www.imdb.com/chart/top/","Gladiator","8.5","","","","",""
"1771933098-34","https://www.imdb.com/chart/top/","Parasite","8.5","","","","",""
"1771933098-35","https://www.imdb.com/chart/top/","Grave of the Fireflies","8.5","","","","",""
"1771933098-36","https://www.imdb.com/chart/top/","Psycho","8.5","","","","",""
"1771933098-37","https://www.imdb.com/chart/top/","The Lion King","8.5","","","","",""
"1771933098-38","https://www.imdb.com/chart/top/","Harakiri","8.6","","","","",""
"1771933098-39","https://www.imdb.com/chart/top/","The Departed","8.5","","","","",""
"1771933098-40","https://www.imdb.com/chart/top/","Whiplash","8.5","","","","",""
"1771933098-41","https://www.imdb.com/chart/top/","The Prestige","8.5","","","","",""
"1771933098-42","https://www.imdb.com/chart/top/","American History X","8.5","","","","",""
"1771933098-43","https://www.imdb.com/chart/top/","Léon: The Professional","8.5","","","","",""
"1771933098-44","https://www.imdb.com/chart/top/","Spider-Man: Across the Spider-Verse","8.5","","","","",""
"1771933098-45","https://www.imdb.com/chart/top/","Cinema Paradiso","8.5","","","","",""
"1771933098-46","https://www.imdb.com/chart/top/","Kill Bill: The Whole Bloody Affair","8.8","","","","",""
"1771933098-47","https://www.imdb.com/chart/top/","Casablanca","8.5","","","","",""
"1771933098-48","https://www.imdb.com/chart/top/","The Intouchables","8.5","","","","",""
"1771933098-49","https://www.imdb.com/chart/top/","The Usual Suspects","8.5","","","","",""
"1771933098-50","https://www.imdb.com/chart/top/","Alien","8.5","","","","",""
"1771933098-51","https://www.imdb.com/chart/top/","Django Unchained","8.5","","","","",""
"1771933098-52","https://www.imdb.com/chart/top/","Modern Times","8.5","","","","",""
